Neighborhood,Decade,Education,Number of People,Percent of Population
South Boston,1970,High School or GED,7372,34.51%
South Boston,1970,Some College or Associate's Degree,955,4.47%
South Boston,1970,Bachelor's Degree or Higher,972,4.55%
South Boston,1980,less than High School,7264,38.23%
South Boston,1980,High School or GED,8695,45.76%
South Boston,1980,Some College or Associate's Degree,1701,8.95%
South Boston,1980,Bachelor's Degree or Higher,1342,7.06%
South Boston,1990,less than High School,5043,25.05%
South Boston,1990,High School or GED,8205,40.76%
South Boston,1990,Some College or Associate's Degree,3740,18.58%
South Boston,1990,Bachelor's Degree or Higher,3144,15.62%
South Boston,2000,less than High School,3948,18.97%
South Boston,2000,High School or GED,6836,32.84%
South Boston,2000,Some College or Associate's Degree,4312,20.72%
South Boston,2000,Bachelor's Degree or Higher,5719,27.48%
South Boston,2010,less than High School,-,
South Boston,2010,High School or GED,-,
South Boston,2010,Some College or Associate's Degree,-,
South Boston,2010,Bachelor's Degree or Higher,-,
South End,1950,less than High School,24591,72.85%
South End,1950,High School or GED,6270,18.58%
South End,1950,Some College or Associate's Degree,1522,4.51%
South End,1950,Bachelor's Degree or Higher,1371,4.06%
South End,1960,less than High School,16344,72.88%
South End,1960,High School or GED,3934,17.54%
South End,1960,Some College or Associate's Degree,1185,5.28%
South End,1960,Bachelor's Degree or Higher,963,4.29%
South End,1970,less than High School,8062,56.44%
South End,1970,High School or GED,3376,23.63%
South End,1970,Some College or Associate's Degree,1130,7.91%
South End,1970,Bachelor's Degree or Higher,1717,12.02%
South End,1980,less than High School,5648,34.04%
South End,1980,High School or GED,3824,23.05%
South End,1980,Some College or Associate's Degree,2229,13.43%
South End,1980,Bachelor's Degree or Higher,4890,29.47%
South End,1990,less than High School,4388,23.77%
South End,1990,High School or GED,2446,13.25%
South End,1990,Some College or Associate's Degree,3369,18.25%
South End,1990,Bachelor's Degree or Higher,8258,44.73%
South End,2000,less than High School,3778,18.61%
South End,2000,High School or GED,2866,14.12%
South End,2000,Some College or Associate's Degree,2960,14.58%
South End,2000,Bachelor's Degree or Higher,10697,52.69%
South End,2010,less than High School,-,
South End,2010,High School or GED,-,
South End,2010,Some College or Associate's Degree,-,
South End,2010,Bachelor's Degree or Higher,-,
West End,1950,less than High School,5369,71.88%
West End,1950,High School or GED,1361,18.22%
West End,1950,Some College or Associate's Degree,378,5.06%
West End,1950,Bachelor's Degree or Higher,361,4.83%
West End,1960,less than High School,848,66.77%
West End,1960,High School or GED,232,18.27%
West End,1960,Some College or Associate's Degree,75,5.91%
West End,1960,Bachelor's Degree or Higher,115,9.06%
West End,1970,less than High School,596,25.86%
West End,1970,High School or GED,509,22.08%
West End,1970,Some College or Associate's Degree,318,13.80%
West End,1970,Bachelor's Degree or Higher,882,38.26%
West End,1980,less than High School,351,10.35%
West End,1980,High School or GED,637,18.79%
West End,1980,Some College or Associate's Degree,654,19.29%
West End,1980,Bachelor's Degree or Higher,1749,51.58%
West End,1990,less than High School,361,11.88%
West End,1990,High School or GED,307,10.10%
West End,1990,Some College or Associate's Degree,491,16.15%
West End,1990,Bachelor's Degree or Higher,1881,61.88%
West End,2000,less than High School,420,10.78%
West End,2000,High School or GED,485,12.45%
West End,2000,Some College or Associate's Degree,606,15.55%
West End,2000,Bachelor's Degree or Higher,2386,61.23%
West End,2010,less than High School,-,
West End,2010,High School or GED,-,
West End,2010,Some College or Associate's Degree,-,
West End,2010,Bachelor's Degree or Higher,-,
West Roxbury,1950,less than High School,6754,40.34%
West Roxbury,1950,High School or GED,6190,36.97%
West Roxbury,1950,Some College or Associate's Degree,1683,10.05%
West Roxbury,1950,Bachelor's Degree or Higher,2117,12.64%
West Roxbury,1960,less than High School,7054,38.21%
West Roxbury,1960,High School or GED,6781,36.74%
West Roxbury,1960,Some College or Associate's Degree,2298,12.45%
West Roxbury,1960,Bachelor's Degree or Higher,2326,12.60%
West Roxbury,1970,less than High School,6343,30.16%
West Roxbury,1970,High School or GED,8796,41.83%
West Roxbury,1970,Some College or Associate's Degree,2692,12.80%
West Roxbury,1970,Bachelor's Degree or Higher,3198,15.21%
West Roxbury,1980,less than High School,4538,20.76%
West Roxbury,1980,High School or GED,8968,41.03%
West Roxbury,1980,Some College or Associate's Degree,3490,15.97%
West Roxbury,1980,Bachelor's Degree or Higher,4863,22.25%
West Roxbury,1990,less than High School,2864,12.80%
West Roxbury,1990,High School or GED,6839,30.57%
West Roxbury,1990,Some College or Associate's Degree,4564,20.40%
West Roxbury,1990,Bachelor's Degree or Higher,8106,36.23%
West Roxbury,2000,less than High School,2713,12.62%
West Roxbury,2000,High School or GED,5105,23.75%
West Roxbury,2000,Some College or Associate's Degree,4717,21.94%
West Roxbury,2000,Bachelor's Degree or Higher,8964,41.69%
West Roxbury,2010,less than High School,-,
West Roxbury,2010,High School or GED,-,
West Roxbury,2010,Some College or Associate's Degree,-,
West Roxbury,2010,Bachelor's Degree or Higher,-,
