Agency,Street Address,City,State,Zip,Counties Served,Program Type,Funding Source,Program Description,Contract Dates,Contract Number,Funding Level
"Catholic Charities of Saratoga, Warren and Washington Counties",142 Regent Street,Saratoga Springs,NY,12866,WASHINGTON,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027479,105250
Catholic Charities of Schoharie County,489 West Main Street,Cobleskill,NY,12043,SCHOHARIE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027487,30000
"Cattaraugus Community Action, Inc.",25 Jefferson Street,Salamanca,NY,14779,CATTARAUGUS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027472,105250
"Cayuga/Seneca Community Action Agency, Inc.",65 State Street,Auburn,NY,13021,CAYUGA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027480,80563
"Center for Safety & Change, Inc. (formerly Rockland Family Shelter, Inc.)",9 Johnsons Lane,New City,NY,10956,ROCKLAND,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026854,32045
"Center for the Elimination of Violence in the Family, Inc.","25 Chapel Street, Suite 904",Brooklyn,NY,11201,KINGS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026779,32045
"Chances and Changes, Inc.",P. O. Box 326,Genesee,NY,14454,LIVINGSTON,Child Protective /Domestic Violence Collaboration,Federal Family Violence Prevention and Services Act,"Collaboration project in which a domestic violence advocate is out-stationed at the local social service district child protective services office to provide consultation and participate in joint case work, safety planning and home visits with child protective services families experiencing domestic violence.",10/1/13-9/30/14,C025843,37974
"Chances and Changes, Inc.",P. O. Box 326,Genesee,NY,14454,LIVINGSTON,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027521,30000
Chenango County Catholic Charities,3 O'Hara Drive,Norwich,NY,13815,CHENANGO,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027488,30000
Child and Family Services of Erie County (Haven House),"P.O. Box 451, Ellicott Station",Buffalo,NY,14205,ERIE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027531,56074
"Circulo de la Hispanidad, Inc.",26 West Park Avenue,Long Beach,NY,11561,NASSAU,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027532,75250
"Community Action Committee to Help the Economy, Inc. (CACHE, Inc.)",63-65 South Main Street,Liberty,NY,12754,SULLIVAN,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027522,30000
"Community Action of Greene County, Inc.",53 South Jefferson Avenue,Catskill,NY,12414,FRANKLIN,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027489,30000
"Community Action of Greene County, Inc.",53 South Jefferson Avenue,Catskill,NY,12414,GREENE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027489,30000
"Community Action of Greene County, Inc.",53 South Jefferson Avenue,Catskill,NY,12414,COLUMBIA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027489,30000
"Delaware Opportunities, Inc.",35430 State Highway 10,Hamden,NY,13782,DELAWARE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027490,30000
Domestic Violence and Rape Crisis Services of Saratoga County,"480 Broadway, LL20",Saratoga Springs,NY,12866,SARATOGA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026782,32045
Edwin Gould Services for Children and Families,1968 2nd Avenue,New York,NY,10029,NEW YORK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026783,32045
"Equinox, Inc.",95 Central Avenue,Albany,NY,12206,ALBANY,Child Protective /Domestic Violence Collaboration,Federal Family Violence Prevention and Services Act,"Collaboration project in which a domestic violence advocate is out-stationed at the local social service district child protective services office to provide consultation and participate in joint case work, safety planning and home visits with child protective services families experiencing domestic violence.",9/29/13-9/28/14,C025841,48867
"Equinox, Inc.",95 Central Avenue,Albany,NY,12206,ALBANY,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027533,75250
Erie County District Attorney's Office,"1600 Rath Bldg., 95 Franklin St.",Buffalo,NY,14202,ERIE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027505,55000
"Family and Children's Service of Niagara, Inc.",826 Chilton Avenue,Niagara Falls,NY,14301,NIAGARA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027534,56811
"Family Counseling Service of the Finger Lakes, Inc.",671 South Exchange Street,Geneva,NY,14456,ONTARIO,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027481,87535
"Family Counseling Service of the Finger Lakes, Inc.",671 South Exchange Street,Geneva,NY,14456,SENECA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027481,87535
"Family Counseling Service of the Finger Lakes, Inc.",671 South Exchange Street,Geneva,NY,14456,YATES,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027481,87535
Family Justice Center,"237 Main Street, Suite 1400",Buffalo,NY,14233,ERIE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026835,32045
"Family of Woodstock, Inc.","POB 3516, 39 John Street",Kingston,NY,12402,ULSTER,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027482,83613
"Family Services, Inc.",29 North Hamilton Street,Poughkeepsie,NY,12601,DUTCHESS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027523,20000
"Food First Family Project, Inc.",165 Conover Street,Brooklyn,NY,11231,KINGS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026788,32045
Good Shepherd Services,"305 7th Avenue, 9th Floor",New York,NY,10001,KINGS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027506,75250
"Grace Smith House, Inc.",P. O. Box 5205,Poughkeepsie,NY,12602,DUTCHESS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027507,35050
Hamilton County Department of Social Services,PO Box 725,Indian Lake,NY,12842,HAMILTON,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027492,20000
HELP Social Services Corporation,"5 Hanover Place, 17th Floor",New York,NY,10004,NEW YORK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027542,75250
Henry Street Settlement,265 Henry Street,New York,NY,10002,NEW YORK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027508,75250
"Hispanos Unidos de Buffalo, Inc.",254 Virginia Street,Buffalo,NY,14201,ERIE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026838,32045
"House of Faith Ministry, Inc.",306 Town View Dreive,Wappingers Falls,NY,12590,DUTCHESS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027510,30000
"Jewish Board of Family and Children's Services, Inc.",120 West 57th Street,New York,NY,10019,NEW YORK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027535,35073
"Lewis County Opportunities, Inc.",8265 State Route 812,Lowville,NY,13367,LEWIS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027493,30000
"Liberty Resources, Inc.",218 Liberty Street,Oneida,NY,13421,MADISON,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027473,104636
"Lifespan of Greater Rochester, Inc.",1900 South Clinton Avenue,Rochester,NY,14618,MONROE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027524,20000
Mechanicville Area Community Services Center,"POB 30, 6 South Main Street",Mechanicville,NY,12118,SARATOGA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027474,73920
My Sister's Place,1 Water Street,White Plains,NY,10601,WESTCHESTER,Child Protective /Domestic Violence Collaboration,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/2/13-3/1/14,C025847,75311
My Sister's Place,1 Water Street,White Plains,NY,10601,WESTCHESTER,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027536,75250
"THE SAFE CENTER LI, INC. ",15-10 Grumman Road West,Bethpage,NY,11714,NASSAU,Child Protective /Domestic Violence Collaboration,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/2/13-3/1/14,C025848,32045
"THE SAFE CENTER LI, INC. ",15-10 Grumman Road West,Bethpage,NY,11714,NASSAU,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027540,75250
"New York Asian Women's Center, Inc.","39 Bowery, PMB 375",New York,NY,10002,NEW YORK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027511,75250
New York City Gay and Lesbian Anti-Violence Project,"240 West 35th Street, Suite 200",New York,NY,10001,NEW YORK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027537,75250
New York City Human Resources Adminstration,"180 Water Street, 24th Floor",New York,NY,10038,NEW YORK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026797,32045
"Ohel Children's Home and Family Services, Inc.",4510 16th Avenue,Brooklyn,NY,11204,KINGS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026798,67029
"Opportunities for Otsego, Inc.",3 West Broadway,Oneonta,NY,13820,OTSEGO,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027525,30000
"Orange County Safe Homes Project, Inc.",P. O. Box 649,Newburgh,NY,12551,ORANGE,Child Protective /Domestic Violence Collaboration,Federal Family Violence Prevention and Services Act,"Collaboration project in which a domestic violence advocate is out-stationed at the local social service district child protective services office to provide consultation and participate in joint case work, safety planning and home visits with child protective services families experiencing domestic violence.",10/1/13-9/30/14,C025845,87074
"Orange County Safe Homes Project, Inc.",P. O. Box 649,Newburgh,NY,12551,ORANGE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026860,32045
Orleans County Department of Social Services,14016 Route 31 West,Albion,NY,14411,ORLEANS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027494,20000
"Oswego County Opportunities, Inc.",239 Oneida Street,Fulton,NY,13069,OSWEGO,Child Protective /Domestic Violence Collaboration,Federal Family Violence Prevention and Services Act,"Collaboration project in which a domestic violence advocate is out-stationed at the local social service district child protective services office to provide consultation and participate in joint case work, safety planning and home visits with child protective services families experiencing domestic violence.",10/1/13-9/30/14,C025844,87074
"Oswego County Opportunities, Inc.",239 Oneida Street,Fulton,NY,13069,OSWEGO,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027483,105250
"Palladia, Inc.",2006-2016 Madison Avenue,New York,NY,10035,NEW YORK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027663,75250
Pathstone Corporation (formerly Rural Opportunities),400 East Avenue,Rochester,NY,14607,ORLEANS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027526,30000
"Putnam/Northern Westchester Women's Resource Center, Inc.","935 South Lake Blvd., Suite 2",Mahopac,NY,10541,PUTNAM,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027468,99379
Queens Legal Services Corporation,"8900 Sutphin Blvd., Suite 206",Jamaica,NY,11435,QUEENS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027539,75250
"S.O.S. Shelter, Inc.",P. O. Box 393,Endicott,NY,13761,BROOME,Child Protective /Domestic Violence Collaboration,Federal Family Violence Prevention and Services Act,"Collaboration project in which a domestic violence advocate is out-stationed at the local social service district child protective services office to provide consultation and participate in joint case work, safety planning and home visits with child protective services families experiencing domestic violence.",11/30/13-11/29/14,C025846,37868
"S.O.S. Shelter, Inc.",P. O. Box 393,Endicott,NY,13760,BROOME,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027498,30000
"Safe Harbors of the Finger Lakes, Inc. (formerly Rape and Abuse Crisis Services of the Finger Lakes, Inc.",PO Box 624,Penn Yan,NY,14527,YATES,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027495,20000
"Safe Horizon, Inc.","2 Lafayette Street, 3rd Floor",New York,NY,10007,NEW YORK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C026807,67029
Salvation Army of Syracuse,677 South Salina Street,Syracuse,NY,13202,ONONDAGA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027476,95250
"Sanctuary for Families, Inc.","POB 1406, Wall Street Station",New York,NY,10268,NEW YORK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026810,32045
Seamens Society for Children and Families,50 Bay Street,Staten Island,NY,10301,RICHMOND,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027515,75250
Seneca County Community Counseling Center,31 Thurber Drive,Waterloo,NY,13165,SENECA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027497,20000
"Spanish Action League of Onondaga County, Inc.",700 Oswego Street,Syracuse,NY,13204,ONONDAGA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027499,20000
"St. Lawrence Valley Renewal House for Victims of Family Violence, Inc.",3 Chapel Street,Canton,NY,13617,ST. LAWRENCE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027500,30000
"Steuben Churchpeople Against Poverty, Inc. dba Arbor Development)",P. O. Box 31,Bath,NY,14810,STEUBEN,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027501,30000
"Suffolk County Coalition Against Domestic Violence, Inc.",P. O. Box 1269,Bay Shore,NY,11706,SUFFOLK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026848,32045
"Suicide Prevention and Crisis Services, Inc.",2969 Main Street,Buffalo,NY,14214,ERIE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026849,67029
"The Family Counseling Center of Fulton County, Inc.",11-21 Broadway,Gloversville,NY,12078,FULTON,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027491,30000
"The Retreat, Inc.",13 Good Friend Drive,East Hampton,NY,11937,SUFFOLK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026805,32045
The Salvation Army of Elmira-Safehouse,P. O. 293,Elmira,NY,14902,CHEMUNG,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027496,30000
The Salvation Army of Jamestown,"83 South Main Street, POB 368",Jamestown,NY,14702,CHAUTAUQUA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027475,105250
"Unity House of Troy, Inc.",504 Broadway,Troy,NY,12180,RENSSELAER,Child Protective /Domestic Violence Collaboration,Federal Family Violence Prevention and Services Act,"Collaboration project in which a domestic violence advocate is out-stationed at the local social service district child protective services office to provide consultation and participate in joint case work, safety planning and home visits with child protective services families experiencing domestic violence.",9/29/13-9/28/14,C025840,72493
"Unity House of Troy, Inc.",33 Second Street,Troy,NY,12180,RENSSELAER,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027484,105250
Urban Justice Center,"666 Broadway, 10th Floor",New York,NY,10012,NEW YORK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027541,75250
Urban Resource Institute,22 Chapel Street,Brooklyn,NY,11201,KINGS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027516,75250
"Vera House, Inc.","6181 Thompson Road, Ste. 100",Syracuse,NY,13206,ONONDAGA,Child Protective /Domestic Violence Collaboration,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/2/14-3/1/15,C025849,47730
"Vera House, Inc.","6181 Thompson Road, Ste. 100",Syracuse,NY,13206,ONONDAGA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027517,50000
"Victim Resource Center of the Finger Lakes, Inc.",132 Harrison Street,Newark,NY,14513,WAYNE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027502,30000
"Victims Assistance Center of Jefferson County, Inc.",120 Arcade Street,Watertown,NY,13601,JEFFERSON,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027527,30000
"Victims Information Bureau of Suffolk, Inc.",P. O. Box 428,Holbrook,NY,11741,SUFFOLK,Child Protective /Domestic Violence Collaboration,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/2/14-3/1/15,C025850,87074
